name,positions
AWAR,"475.3010, 544.6632, 15.8162"
BAGR,"490.2943, 505.5142, 14.8775"
ASIL,"462.6794, 562.6065, 9.2450"
ASGL,"464.0677, 554.7396, 9.2450"
AWAL,"470.5462, 550.1121, 9.7144"
ASHL,"487.6681, 553.8141, 9.7144"
ASEL,"486.9740, 561.6810, 8.7757"
BAGL,"492.7584, 521.1900, 10.6531"
ASJR,"509.6490, 574.8694, 15.3469"
ASER,"483.7347, 550.1121, 16.2856"
AWBR,"472.1659, 543.1708, 16.7550"
ASGR,"464.5304, 548.2611, 16.2856"
ASIR,"467.0756, 556.1279, 16.2856"
ADLR,"461.7539, 552.6572, 14.8775"
ASKR,"466.8442, 541.3198, 14.8775"
ADFR,"481.4210, 539.0060, 16.2856"
ADFL,"476.3307, 543.8649, 9.7144"
AWCR,"502.1754, 551.7273, 15.8162"
ASHR,"493.5389, 550.7231, 15.3469"
ADLL,"456.7565, 561.8722, 10.1838"
ASKL,"460.7316, 551.2022, 10.6531"
AWBL,"470.7740, 550.5745, 8.7757"
AWCL,"500.9013, 563.7552, 10.6531"
SIBVL,"503.4119, 561.8722, 11.5919"
RIML,"515.3372, 560.1985, 12.0613"
RIMR,"507.5962, 538.2307, 13.0000"
AVBR,"498.8091, 565.8474, 16.2856"
RIBR,"500.0644, 562.2907, 15.3469"
SIBDR,"506.1317, 559.7801, 14.8775"
ASJL,"519.1031, 594.9285, 12.0613"
RMHR,"514.2911, 590.9534, 12.5306"
PVNR,"315.3104, 540.4669, 15.8162"
PLMR,"305.9594, 570.3904, 15.8162"
PHCR,"301.8449, 592.8330, 15.8162"
PVR,"307.0815, 585.3521, 15.3469"
PHSO1R,"318.8639, 543.2722, 14.8775"
PVWR,"315.3104, 583.2949, 14.8775"
ALNR,"321.8562, 578.2453, 14.4081"
DVA,"312.5051, 613.7795, 13.4694"
DVC,"313.4402, 609.1039, 12.0613"
DVB,"308.0166, 615.8367, 12.0613"
PHCL,"299.4136, 581.0506, 11.1225"
PLML,"303.1540, 567.0240, 11.1225"
PQR,"293.2419, 601.9971, 10.1838"
PHBL,"297.5434, 603.1192, 11.5919"
PVQL,"289.8755, 618.4550, 11.5919"
PLNL,"284.8259, 624.4397, 11.1225"
PHAL,"290.6236, 611.7222, 11.1225"
PVCL,"305.0242, 595.4513, 11.1225"
LUAL,"303.9021, 601.0620, 11.1225"
PVWL,"302.0709, 590.2069, 10.6531"
PHSO1L,"311.4219, 549.0621, 12.0613"
PVNL,"311.7336, 561.6861, 12.0613"
PVCR,"301.9150, 601.8958, 15.8162"
LUAR,"301.1357, 607.6623, 15.3469"
PHBR,"302.3826, 612.9612, 15.3469"
PHAR,"294.4341, 619.8187, 15.3469"
PLNR,"297.3953, 611.8703, 16.2856"
ALNL,"319.3704, 594.4149, 10.6531"
VA12,"271.7029, 668.6843, 12.5306"
PVPL,"268.2742, 678.8146, 12.5306"
DD6,"274.3524, 665.2555, 13.9387"
DA8,"281.5216, 649.6704, 13.9387"
AS11,"262.5077, 709.5174, 13.9387"
VD12,"265.1572, 694.2439, 13.4694"
PDA,"283.7035, 647.8002, 14.8775"
DA9,"279.8072, 655.9044, 14.8775"
PVPR,"275.9109, 666.9699, 14.8775"
PVT,"270.3003, 682.3992, 14.8775"
VD13,"283.2359, 655.7486, 15.8162"
PDB,"280.7423, 662.7619, 15.8162"
VA11,"258.0172, 793.5165, 13.9387"
RMGL,"490.3561, 686.1791, 8.3063"
ADAL,"493.9681, 670.8282, 8.3063"
ADEL,"498.9345, 659.3151, 8.3063"
FLPL,"501.6435, 636.2887, 9.2450"
RICL,"507.2872, 614.8426, 10.6531"
RMGR,"508.4160, 666.9905, 17.2243"
ADAR,"512.9309, 658.6378, 16.7550"
ADER,"506.1585, 633.8055, 16.2856"
AQR,"512.2537, 646.6731, 16.2856"
,"471.6190, 402.4133, 16.2856"
I1R,"487.1956, 412.7977, 14.4081"
MI,"463.9435, 440.5648, 13.9387"
I3,"464.1693, 445.9828, 13.9387"
M4,"467.1040, 457.9474, 13.4694"
MCR,"484.9381, 436.0498, 13.9387"
I2R,"491.4848, 433.3408, 14.8775"
NSMR,"488.7758, 440.1133, 14.8775"
IL2R,"477.0369, 465.8486, 16.7550"
M3R,"486.9699, 459.0762, 14.4081"
IL2VR,"498.0315, 472.6211, 13.9387"
IL2DR,"463.9435, 470.8151, 15.3469"
OLLR,"475.2309, 478.2648, 15.3469"
IL1R,"481.5519, 475.5558, 15.3469"
URYVR,"486.0669, 483.9085, 15.3469"
RIPR,"476.3597, 494.2929, 15.3469"
URBR,"482.0034, 492.2612, 15.3469"
RMER,"483.5836, 508.2893, 15.3469"
OLQVR,"489.9046, 490.9067, 14.8775"
URYDR,"467.3297, 493.6157, 14.8775"
URADR,"467.1040, 483.6827, 14.8775"
OLQDR,"463.4920, 504.9031, 14.4081"
IL1VR,"493.7423, 504.2259, 13.0000"
CEPVR,"496.9028, 518.4480, 13.9387"
URAVR,"494.1938, 506.4833, 13.9387"
RMDVR,"488.5501, 524.5432, 15.8162"
SMDVR,"480.8746, 529.0582, 15.8162"
RIAR,"484.7124, 535.3791, 15.8162"
AVAR,"493.7423, 533.3474, 15.8162"
AFDR,"493.7423, 542.8288, 15.3469"
SAAVR,"476.8112, 533.5732, 15.3469"
AINR,"482.4549, 566.9839, 17.6937"
AVJR,"480.6489, 558.1797, 16.7550"
AVDR,"486.7441, 557.2768, 16.7550"
AVHR,"474.1022, 550.7300, 16.7550"
RID,"454.4621, 531.5414, 13.0000"
ALA,"452.6561, 541.4744, 13.0000"
RMED,"464.8465, 500.3881, 13.0000"
IL1VL,"491.0333, 468.7833, 10.6531"
IL2VL,"496.9028, 460.4307, 10.6531"
I2L,"482.9064, 431.3091, 10.6531"
NSML,"484.2609, 439.4360, 10.6531"
M3L,"482.0034, 457.9474, 10.6531"
IL2DL,"461.9118, 464.0426, 10.6531"
IL2L,"478.1657, 467.6546, 9.7144"
IL1L,"480.4232, 472.3953, 10.1838"
URYVL,"482.0034, 482.5540, 10.1838"
OLQVL,"485.1639, 499.4851, 10.6531"
OLLL,"473.4250, 484.3600, 10.6531"
URBL,"477.9399, 486.6175, 9.7144"
RIPL,"479.0687, 500.8396, 10.1838"
RMEL,"480.6489, 513.2558, 9.7144"
URAVL,"490.8076, 511.6756, 10.6531"
URYDL,"469.5872, 493.8414, 10.6531"
OLQDL,"463.9435, 505.8061, 11.1225"
URADL,"469.8130, 478.2648, 11.1225"
MCL,"482.0034, 433.7923, 12.0613"
I1L,"483.8094, 405.7995, 11.1225"
IL1DL,"465.7495, 483.2312, 11.5919"
M5,"466.4267, 594.0737, 9.2450"
I6,"469.3615, 571.7247, 10.6531"
M2L,"489.2273, 560.6630, 10.6531"
AVDL,"494.8711, 583.4636, 8.3063"
AINL,"489.2273, 589.3330, 8.3063"
AVJL,"480.8746, 569.0157, 8.3063"
AVHL,"472.7477, 560.4372, 8.3063"
CEPDR,"461.6860, 533.5732, 13.0000"
I4,"466.6525, 564.5007, 12.5306"
M2R,"483.3579, 562.2432, 15.3469"
M1,"463.7178, 574.8851, 15.3469"
RIVR,"459.6543, 570.5959, 16.7550"
FLPR,"499.6118, 601.7492, 16.2856"
RICR,"503.4495, 590.9133, 16.2856"
AIZR,"504.1267, 576.2396, 15.8162"
AIYR,"524.8956, 655.0258, 14.8775"
AVKR,"526.7016, 661.1210, 14.4081"
RMDVL,"480.1974, 527.2522, 9.2450"
AVAL,"482.2291, 535.6049, 9.7144"
AFDL,"484.9381, 544.4091, 10.1838"
RMDL,"493.0651, 543.2803, 10.6531"
SIBDL,"498.4830, 553.2133, 11.1225"
AIBL,"494.6453, 556.8253, 11.1225"
CEPVL,"494.4196, 523.4145, 12.0613"
RMEV,"507.9645, 545.3121, 12.5306"
RIH,"506.3842, 538.0881, 11.5919"
SAAVL,"472.9735, 536.0564, 10.1838"
SMDVL,"465.5238, 538.7654, 10.1838"
RIAL,"469.1357, 542.3774, 10.1838"
RIVL,"452.8818, 557.9540, 10.6531"
AIMR,"526.4758, 652.3169, 13.4694"
SABVL,"528.5076, 664.0558, 13.4694"
SABVR,"530.9908, 676.2462, 13.0000"
VB2,"535.0543, 665.1845, 11.5919"
AVFL,"535.9573, 677.1492, 11.5919"
AIYL,"525.5728, 654.8001, 11.1225"
DB2,"533.9255, 702.6588, 12.0613"
DD1,"535.5058, 736.7468, 13.0000"
AVG,"534.6028, 718.9127, 13.0000"
SABD,"537.7633, 763.1594, 13.0000"
DA1,"537.5375, 775.5755, 13.0000"
RIGL,"538.8920, 797.2474, 13.0000"
VA1,"534.8285, 715.0749, 12.0613"
AVFR,"536.4088, 736.0695, 12.0613"
VD1,"535.9573, 723.6534, 11.5919"
DB1,"537.7633, 744.1965, 11.5919"
,"538.4405, 757.9671, 11.5919"
VD2,"538.6663, 782.3480, 11.5919"
AIML,"526.4758, 651.8654, 12.5306"
AVBL,"497.8058, 569.2414, 9.2450"
RIBL,"506.3842, 574.6594, 11.1225"
AUAL,"508.6417, 580.9803, 11.1225"
RMHL,"507.5130, 570.5959, 12.0613"
SIBVR,"509.3190, 574.8851, 13.9387"
I5,"499.1603, 569.0157, 13.9387"
IL1DR,"465.9753, 485.9402, 13.9387"
AVEL,"489.4531, 547.1181, 11.1225"
SMDDL,"507.7387, 562.2432, 11.1225"
RMDDL,"513.3824, 573.0791, 11.1225"
SMBDL,"518.8004, 584.5923, 11.1225"
SMBVL,"521.5094, 615.2941, 11.5919"
URXL,"461.2345, 542.8288, 11.5919"
CEPDL,"456.2681, 543.0546, 11.1225"
AUAR,"503.6752, 559.3085, 16.2856"
AVER,"492.8393, 545.7636, 14.4081"
AIBR,"499.3860, 557.0510, 14.4081"
SAADR,"508.4160, 568.5642, 13.9387"
URXR,"459.2028, 543.2803, 14.4081"
AIAL,"524.2184, 616.8743, 12.5306"
SMBVR,"516.5332, 595.7423, 13.9387"
SMDDR,"522.3445, 601.7411, 13.9387"
SIADR,"521.2197, 605.8652, 13.4694"
SIAVR,"523.6568, 615.2384, 13.4694"
SMBDR,"524.0317, 623.2993, 13.4694"
AVL,"519.9075, 620.4873, 14.4081"
RIFL,"532.2800, 678.4133, 13.9387"
RIFR,"532.0926, 665.8533, 13.9387"
RMFR,"511.4717, 571.7470, 13.0000"
RIR,"505.6603, 557.4999, 13.0000"
SIADL,"514.6586, 577.5584, 12.5306"
RMFL,"503.0359, 558.2497, 12.5306"
SAADL,"500.7863, 551.3136, 12.0613"
RMDR,"502.2860, 550.3763, 14.4081"
RMDDR,"516.9081, 583.9321, 14.4081"
AIZL,"511.6591, 578.1208, 10.1838"
SIAVL,"517.4678, 584.8745, 12.0613"
AS1,"537.6876, 769.6279, 12.0613"
VB1,"534.5158, 689.9381, 12.0613"
RIGR,"533.5071, 689.9557, 13.4694"
,"505.1166, 564.4942, 13.0000"
,"515.0555, 585.6143, 13.4694"
,"514.5175, 574.0436, 17.2243"
AVKL,"527.3780, 664.8432, 11.5919"
